# source: GeoNames gazetteer, Iran (IR) — administrative divisions, admin level 1 (province) and 2 (county / shahrestan)
# url: https://download.geonames.org/export/dump/IR.zip
# sha256: a508c1962f00e637217e42b114d9dec1187abe6db73a9db56731f60dc0d9541f
# altnames-source: GeoNames alternate names, Iran (IR) — fa/ps/ckb/az/uz/ms/tg/ne/ta names by geonameid, plus kmr from the Latin-script (Hawar-alphabet) half of the generic `ku` tag (DT-020; prs checked and not usable, see this file's generator docstring)
# altnames-url: https://download.geonames.org/export/dump/alternatenames/IR.zip
# altnames-sha256: 52a2f2c70206baa69bc3c9fc65c0426751affb501d3042ff384c9fa20ee19b8e
# retrieved: 2026-09-25
# licence: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/ (GeoNames, https://www.geonames.org/about.html); config/license/allowed-licenses.json dataLicenses, ADR-0039
# generator: tools/geodata/geonames_iran_divisions.py
# notes: no district (admin level 3 / bakhsh) rows — GeoNames' Iran admin3 coverage is 7 records, far short of the real count (docs/DATA_TODO.md DT-021); a division with no published alternate name in a language has an empty field for it; coverage per language (of 466 divisions): fa=463, ps=31, ckb=30, az=32, uz=31, ms=31, tg=32, ne=1, ta=30, kmr=31
# columns: code,level,parentCode,en,latitude,longitude,fa,ps,ckb,az,uz,ms,tg,ne,ta,kmr
449715	COUNTY	09	Shahrestān-e Hamadān	34.82517	48.80310	شهرستان همدان									
449712	COUNTY	09	Shahrestān-e Kabūdarāhang	35.37615	48.38238	شهرستان كبودرآهنگ									
449713	COUNTY	09	Shahrestān-e Malāyer	34.32216	48.79741	شهرستان ملايِر									
449714	COUNTY	09	Shahrestān-e Nahāvand	34.21957	48.24670	شهرستان نهاوند									
449710	COUNTY	09	Shahrestān-e Tūyserkān	34.54219	48.33457	شهرستان تويسركان									
112941	COUNTY	10	Badreh	33.31354	47.02365	شهرستان بدرِه									
11963421	COUNTY	10	Chardavol County	33.75910	46.56980	شهرستان چرداول									
12543583	COUNTY	10	Chardāval	33.67952	46.89901	چرداول									
28354	COUNTY	10	Darrehshahr	33.02500	47.57333	شهرستان دره شهر									
449462	COUNTY	10	Shahrestān-e Dehlorān	32.62926	47.28063	شهرستان دهلران									
449460	COUNTY	10	Shahrestān-e Eyvān	33.88767	46.15953	شهرستان ايوان									
9524084	COUNTY	10	Shahrestān-e Malekshāhī	33.30081	46.56191	شهرستان ملکشاهی									
449464	COUNTY	10	Shahrestān-e Mehrān	33.29591	46.21068	شهرستان مهران									
449458	COUNTY	10	Shahrestān-e Ābdānān	32.87830	47.52180	شهرستان آبدانان						Шаҳристони Обдонон			
449459	COUNTY	10	Shahrestān-e Īlām	33.69591	46.27515	شهرستان ايلام									
11963422	COUNTY	10	Sirvan	33.75460	46.56651	شهرستان سیروان									
449702	COUNTY	11	Bandar Lengeh	26.78333	54.65000	شهرستان بندر لنگه									
449700	COUNTY	11	Bastak	27.20000	54.50200	شهرستان بستک			Bəstək						
449706	COUNTY	11	Qeshm	26.78333	55.86667	شهرستان قشم									
449699	COUNTY	11	Shahrestān-e Abū Mūsá	26.05474	55.16243	شهرستان ابو موسیٰ									
449701	COUNTY	11	Shahrestān-e Bandar ‘Abbās	27.53720	56.22429	شهرستان بندر عباس									
9523757	COUNTY	11	Shahrestān-e Bashāgard	26.44004	58.14973	شهرستان بشاگرد									
449703	COUNTY	11	Shahrestān-e Jāsk	25.86578	58.29089	شهرستان جاسک									
8620945	COUNTY	11	Shahrestān-e Khamīr	27.27756	55.50915	شهرستان خمير									
449707	COUNTY	11	Shahrestān-e Mīnāb	26.94152	57.32685	شهرستان ميناب									
8620946	COUNTY	11	Shahrestān-e Pārsīān	27.14039	53.23222	شهرستان پارسيان									
449705	COUNTY	11	Shahrestān-e Rūdān	27.53333	57.11667	شهرستان رودان									
9523758	COUNTY	11	Shahrestān-e Sīrīk	26.48064	57.23738	شهرستان سيريک									
449704	COUNTY	11	Shahrestān-e Ḩājjīābād	28.06193	56.16021	شهرستان حاجی آباد									
8620948	COUNTY	13	Shahrestān-e Dālāhū	34.41667	46.25000	شهرستان دالاهو									
449622	COUNTY	13	Shahrestān-e Eslāmābād-e Gharb	34.02506	46.67843	شهرستان اسلام آباد غرب									
449632	COUNTY	13	Shahrestān-e Gīlān-e Gharb	34.16794	45.85492	شهرستان گيلان غرب									
449633	COUNTY	13	Shahrestān-e Harsīn	34.35000	47.48333	شهرستان هرسين									
449625	COUNTY	13	Shahrestān-e Javānrūd	34.85184	46.29841	شهرستان جوانرود									
449631	COUNTY	13	Shahrestān-e Kangāvar	34.48333	47.93333	شهرستان کنگاور									
449630	COUNTY	13	Shahrestān-e Kermānshāh	34.29712	47.01427	شهرستان کرمانشاه									
449623	COUNTY	13	Shahrestān-e Pāveh	35.06442	46.25705	شهرستان پاوه									
449629	COUNTY	13	Shahrestān-e Qaşr-e Shīrīn	34.20000	45.63333	شهرستان قصر شيرين									
8620949	COUNTY	13	Shahrestān-e Ravānsar	34.68361	46.58590	شهرستان روانسر									
449626	COUNTY	13	Shahrestān-e Sarpol-e Z̄ahāb	34.50000	45.85000	شهرستان سرپل ذهاب									
